Year,Annual_Mean_Temp,Temp_Anomaly,City
1991,25.979849335842463,-0.4713287466942617,Mumbai
1992,26.38781421807377,-0.0633638644629535,Mumbai
1993,26.39567123320548,-0.05550684933124472,Mumbai
1994,26.223219156917807,-0.22795892561891762,Mumbai
1995,26.42006844667123,-0.03110963586549431,Mumbai
1996,26.364877027336064,-0.08630105520066067,Mumbai
1997,26.21141099658904,-0.23976708594768326,Mumbai
1998,26.794000036369866,0.3428219538331412,Mumbai
1999,26.23804109910959,-0.21313698342713394,Mumbai
2000,26.41513662896175,-0.036041453574974014,Mumbai
2001,26.3607260339726,-0.09045204856412425,Mumbai
2002,26.825904125027396,0.3747260424906713,Mumbai
2003,26.679767076863016,0.22858899432629087,Mumbai
2004,26.487500020013663,0.036321937476937904,Mumbai
2005,26.258301375698633,-0.1928767068380921,Mumbai
2006,26.50143837342466,0.050260290887933934,Mumbai
2007,26.677410969684935,0.22623288714821044,Mumbai
2008,26.206202193811478,-0.24497588872524645,Mumbai
2009,27.11735615120548,0.6661780686687564,Mumbai
2010,26.962849334794523,0.5116712522577984,Mumbai
2011,26.49252054927397,0.04134246673724462,Mumbai
2012,26.21083334254508,-0.24034473999164518,Mumbai
2013,26.28827393282192,-0.16290414971480516,Mumbai
2014,26.685776798013702,0.2345987154769773,Mumbai
2015,27.03623223750685,0.5850541549701269,Mumbai
2016,26.76523755546448,0.31405947292775593,Mumbai
2017,26.89686940468493,0.44569132214820684,Mumbai
2018,27.006776395753427,0.5555983132167022,Mumbai
2019,26.849570414697805,0.3983923321610803,Mumbai
2020,26.890607504234975,0.43942942169825017,Mumbai
2021,28.099862637362637,1.6486845548259126,Mumbai
2022,27.839010989010987,1.3878329064742623,Mumbai
2023,28.457784431137725,2.006606348601,Mumbai
2024,29.581739130434784,3.130561047898059,Mumbai
1951,25.7404931510137,-0.03850238437098952,Pune
1952,25.664999993333332,-0.11399554205135587,Pune
1953,25.721342498246575,-0.057653037138113206,Pune
1954,25.25235618042466,-0.5266393549600288,Pune
1955,25.386191801753426,-0.3928037336312613,Pune
1956,25.176270492991804,-0.6027250423928834,Pune
1957,25.591945227506848,-0.18705030787783983,Pune
1958,25.863246562493153,0.08425102710846488,Pune
1959,25.838931517465753,0.059935982081064765,Pune
1960,25.849221349521855,0.07022581413716722,Pune
1961,25.471506886849312,-0.30748864853537583,Pune
1962,25.487095877123288,-0.29189965826139996,Pune
1963,25.632123327821915,-0.14687220756277242,Pune
1964,25.480724032554647,-0.29827150283004045,Pune
1965,25.74709586441096,-0.031899670973729144,Pune
1966,25.89780825791781,0.11881272253312147,Pune
1967,25.77247949358904,-0.00651604179564913,Pune
1968,25.360573797418034,-0.4184217379666535,Pune
1969,26.0724383929589,0.2934428575742132,Pune
1970,25.356780851780822,-0.4222146836038654,Pune
1971,25.12108220257534,-0.6579133328093469,Pune
1972,25.804071059030058,0.025075523645369913,Pune
1973,25.59302740360274,-0.18596813178194793,Pune
1974,25.35973970728767,-0.4192558280970182,Pune
1975,25.010191785369862,-0.7688037500148255,Pune
1976,25.57670764054645,-0.20228789483823917,Pune
1977,26.01128763428767,0.23229209890298108,Pune
1978,25.326999998945205,-0.4519955364394832,Pune
1979,25.86032877220548,0.08133323682079308,Pune
1980,25.749371578142078,-0.029623957242609578,Pune
1981,25.57238358521918,-0.20661195016550948,Pune
1982,25.7440958739863,-0.03489966139838785,Pune
1983,25.321520524315066,-0.4574750110696222,Pune
1984,25.548101142568306,-0.23089439281638136,Pune
1985,25.49530135631507,-0.2836941790696166,Pune
1986,25.777438341424656,-0.0015571939600320661,Pune
1987,26.018000049027396,0.23900451364270836,Pune
1988,25.7770081815847,-0.00198735379998638,Pune
1989,25.33778081926027,-0.4412147161244171,Pune
1990,25.383493159712327,-0.39550237567236124,Pune
1991,25.426205489873972,-0.3527900455107158,Pune
1992,25.76415299443989,-0.014842540944798088,Pune
1993,25.714643815465752,-0.0643517199189354,Pune
1994,25.588602761260276,-0.1903927741244118,Pune
1995,25.868602672863013,0.08960713747832472,Pune
1996,25.815437137035516,0.03644160165082866,Pune
1997,25.747657528945204,-0.03133800643948348,Pune
1998,25.975260292986302,0.19626475760161455,Pune
1999,25.294410976041096,-0.4845845593435918,Pune
2000,25.54107924516393,-0.2379162902207561,Pune
2001,25.892383589849313,0.1133880544646253,Pune
2002,26.42283560238356,0.6438400669988731,Pune
2003,26.26831504330137,0.489319507916683,Pune
2004,26.05116121357924,0.2721656781945505,Pune
2005,25.763301377863012,-0.015694157521675578,Pune
2006,25.971821898315067,0.19282636293037925,Pune
2007,26.048794568698632,0.2697990333139444,Pune
2008,25.713633895579235,-0.0653616398054524,Pune
2009,26.57795894967123,0.7989634142865434,Pune
2010,26.461191788643834,0.6821962532591463,Pune
2011,25.891972588904107,0.112977053519419,Pune
2012,25.67299179954918,-0.10600373583550748,Pune
2013,25.720137013547944,-0.05885852183674345,Pune
2014,26.007840590164385,0.22884505477969697,Pune
2015,26.40080177750685,0.6218062421221617,Pune
2016,26.11592201715847,0.3369264817737836,Pune
2017,26.227623601438353,0.448628066053665,Pune
2018,26.306509475027397,0.5275139396427093,Pune
2019,26.254796178809066,0.4758006434243782,Pune
2020,26.296792939808743,0.517797404424055,Pune
2021,25.2853021978022,-0.49369333758248857,Pune
2022,25.446016483516484,-0.33297905186820387,Pune
2023,25.68952095808383,-0.08947457730085873,Pune
2024,28.670434782608694,2.8914392472240067,Pune
1901,25.424166666666665,0.09160303030302686,All India
1902,25.424166666666665,0.09160303030302686,All India
1903,25.005,-0.3275636363636387,All India
1904,24.929166666666664,-0.40339696969697414,All India
1905,24.83666666666667,-0.49589696969696817,All India
1906,25.17833333333333,-0.15423030303030671,All India
1907,25.0175,-0.31506363636363943,All India
1908,25.001666666666665,-0.3308969696969726,All India
1909,24.964166666666667,-0.36839696969697044,All India
